bhk,type,locality,region,area,price,price_unit,status,age,price_in_inr,price_per_sqft
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,1076,3.19,Cr,Under Construction,New,31900000.0,29646.840148698884
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,1076,3.19,Cr,Under Construction,New,31900000.0,29646.840148698884
2,Apartment,Kalpataru Vivant South Wing B,Andheri East,718,2.12,Cr,Under Construction,New,21200000.0,29526.462395543174
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,1076,3.19,Cr,Under Construction,New,31900000.0,29646.840148698884
2,Apartment,Kalpataru Vivant South Wing B,Andheri East,758,2.24,Cr,Under Construction,New,22400000.000000004,29551.451187335097
2,Apartment,Kalpataru Vivant South Wing B,Andheri East,718,2.12,Cr,Under Construction,New,21200000.0,29526.462395543174
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,991,2.94,Cr,Under Construction,New,29400000.0,29667.003027245206
2,Apartment,Kalpataru Vivant South Wing B,Andheri East,758,2.24,Cr,Under Construction,New,22400000.000000004,29551.451187335097
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,991,2.94,Cr,Under Construction,New,29400000.0,29667.003027245206
2,Apartment,Kalpataru Vivant South Wing B,Andheri East,618,1.82,Cr,Under Construction,New,18200000.0,29449.838187702266
2,Apartment,Kalpataru Vivant South Wing B,Andheri East,618,1.82,Cr,Under Construction,New,18200000.0,29449.838187702266
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,1033,3.06,Cr,Under Construction,New,30600000.0,29622.45885769603
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,1033,3.06,Cr,Under Construction,New,30600000.0,29622.45885769603
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,913,2.7,Cr,Under Construction,New,27000000.0,29572.836801752463
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,913,2.7,Cr,Under Construction,New,27000000.0,29572.836801752463
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,866,2.57,Cr,Under Construction,New,25700000.0,29676.674364896073
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,866,2.57,Cr,Under Construction,New,25700000.0,29676.674364896073
2,Apartment,Kalpataru Vivant South Wing B,Andheri East,562,1.7,Cr,Under Construction,New,17000000.0,30249.110320284697
2,Apartment,Kalpataru Vivant South Wing B,Andheri East,562,1.7,Cr,Under Construction,New,17000000.0,30249.110320284697
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,948,2.81,Cr,Under Construction,New,28100000.0,29641.350210970464
3,Apartment,Kalpataru Vivant South Wing B,Andheri East,948,2.81,Cr,Under Construction,New,28100000.0,29641.350210970464
3,Apartment,Kalpataru Srishti Namaah,Mira Road East,894,1.86,Cr,Under Construction,New,18600000.0,20805.36912751678
2,Apartment,Kalpataru Srishti Namaah,Mira Road East,668,1.35,Cr,Under Construction,New,13500000.0,20209.580838323353
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Vrindavan Nagari,Boisar,555,15.5,L,Ready to move,Resale,1550000.0,2792.7927927927926
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,DB Ozone,Dahisar,729,51.0,L,Ready to move,Resale,5100000.0,6995.884773662551
2,Apartment,Lodha Aqua,Mira Road East,1020,1.1,Cr,Ready to move,Resale,11000000.0,10784.313725490196
2,Apartment,Lodha Aqua,Mira Road East,1035,1.15,Cr,Ready to move,Resale,11500000.0,11111.111111111111
2,Apartment,Man Opus,Mira Road East,1070,89.0,L,Ready to move,Resale,8900000.0,8317.757009345794
2,Apartment,Man Opus,Mira Road East,1070,93.0,L,Ready to move,Resale,9300000.0,8691.58878504673
2,Apartment,Man Opus,Mira Road East,1050,83.0,L,Ready to move,Resale,8300000.0,7904.761904761905
2,Apartment,Man Opus,Mira Road East,1050,80.0,L,Ready to move,Resale,8000000.0,7619.047619047619
2,Apartment,Lodha Aqua,Mira Road East,1021,1.11,Cr,Ready to move,Resale,11100000.000000002,10871.694417238004
2,Apartment,DB Ozone,Dahisar,1045,79.0,L,Ready to move,Resale,7900000.0,7559.808612440192
2,Apartment,DB Ozone,Dahisar,1039,80.0,L,Ready to move,Resale,8000000.0,7699.711260827719
2,Apartment,Lodha Aqua,Mira Road East,1080,1.14,Cr,Ready to move,Resale,11399999.999999998,10555.555555555553
2,Apartment,Man Opus,Mira Road East,750,73.0,L,Ready to move,Resale,7300000.0,9733.333333333334
1,Apartment,Man Opus,Mira Road East,650,62.0,L,Ready to move,Resale,6200000.0,9538.461538461539
2,Apartment,Man Opus,Mira Road East,1050,79.0,L,Ready to move,Resale,7900000.0,7523.809523809524
2,Apartment,Man Opus,Mira Road East,1050,80.0,L,Ready to move,New,8000000.0,7619.047619047619
2,Apartment,Man Opus,Mira Road East,1020,85.0,L,Ready to move,Resale,8500000.0,8333.333333333334
2,Apartment,Lodha Mira Road Project 1,Mira Road East,785,93.0,L,Ready to move,Resale,9300000.0,11847.133757961783
2,Apartment,Lodha Mira Road Project 1,Mira Road East,765,91.0,L,Ready to move,Resale,9100000.0,11895.424836601307
1,Apartment,Lodha Mira Road Project 1,Mira Road East,850,1.15,Cr,Ready to move,Resale,11500000.0,13529.411764705883
2,Apartment,Lodha Mira Road Project 1,Mira Road East,850,1.11,Cr,Ready to move,Resale,11100000.000000002,13058.823529411768
1,Apartment,Reputed Builder Wild Wood Park 2,Andheri West,651,20.0,L,Ready to move,Resale,2000000.0,3072.1966205837175
1,Apartment,Man Opus,Mira Road East,620,60.0,L,Ready to move,Resale,6000000.0,9677.41935483871
2,Apartment,Lodha Mira Road Project 1,Mira Road East,856,1.18,Cr,Ready to move,Resale,11800000.0,13785.046728971962
2,Apartment,Man Opus,Mira Road East,750,70.0,L,Ready to move,Resale,7000000.0,9333.333333333334
